"ID","SexEstimate","BirthYear","MumID"
 1251, 1, 1996,
 1252, 0, 1996,
 1253, 1, 1997,
 1254, 1, 1997,
 1255, 1, 1996,
 1256, 1, 1996,
 1257, 0, 1997,
 1258, 1, 1997,
 1259, 1, 1997,
 1260, 1, 1997,
 1261, 1, 1996,
 1262, 1, 1997,
 1263, 1, 1996,
 1264, 0, 1996,
 1265, 0, 1996,
 1266, 0, 1996,
 1267, 1, 1998, 914
 1268, 1, 1998, 297
 1269, 0, 1997,
 1270, 0, 1997, 1271
 1271, 0, 1997,
 1272, 0, 1997,
 1273, 1, 1997,
 1274, 1, 1997,
 1275, 0, 1997, 850
 1276, 1, 1997,
 1277, 1, 1997, 949
 1278, 0, 1997, 171
 1279, 1, 1997,
 1280, 1, 1997,
 1281, 1, 1998,
 1282, 1, 1997,
 1283, 1, 1997,
 1284, 1, 1997,
 1285, 0, 1997,
 1286, 1, 1997,
